type,value,,,,
total_protected_areas,"266,609",,,,
total_terrestrial_protected_areas,"248,754",,,,
total_marine_protected_areas,"17,855",,,,
total_land_pa_coverage_percentage,15.72,,,,
total_land_area_protected,"21,206,697",,,,
total_ocean_pa_coverage_percentage,7.91,,,,
total_ocean_area_protected,"28,662,947",,,,
national_waters_pa_coverage_percentage,18.45,,,,
national_waters_pa_coverage_area,"26,044,794",,,,
high_seas_pa_coverage_percentage,1.18,,,,
high_seas_pa_coverage_area,"2,618,153",,,,
national_waters_percentage,39,,,,
global_ocean_percentage,61,,,,
total_oecms,671,,,,
total_terrestrial_oecms,479,,,,
total_marine_oecms,192,,,,
total_land_oecms_coverage_percentage,1.07,,,,
total_land_area_oecms,"1,447,091",,,,
total_ocean_oecms_coverage_percentage,0.09,,,,
total_ocean_area_oecms,"316,535",,,,
national_waters_oecms_coverage_percentage,0.22,,,,
national_waters_oecms_coverage_area,"316,535",,,,
total_oecms_pas,"267,280",,,,
total_terrestrial_oecms_pas,"249,233",,,,
total_marine_oecms_pas,"18,047",,,,
total_land_oecms_pas_coverage_percentage,16.79,,,,
total_land_area_oecms_pas,"22,653,788",,,,
total_ocean_oecms_pas_coverage_percentage,8,,,,
total_ocean_area_oecms_pas,"28,979,482",,,,
national_waters_oecms_pas_coverage_percentage,18.67,,,,
national_waters_oecms_pas_coverage_area,"26,361,329",,,,
global_oecms_pas_coverage_percentage,10.38,,,,
global_oecms_pas,"51,633,270",,,,
green_list_perc,0.14,,,,
green_list_area,"733,351",,,,
green_list_count,61,,,,
