wdpaid,status,expiry_date,url
17231,Green Listed,27-10-2023,https://iucngreenlist.org/sites/Ajloun-Forest-Reserve
902497,Green Listed,31-12-2023,https://iucngreenlist.org/sites/Al-Shouf-Cedars-Nature-Reserve
555558374,Green Listed,31-12-2023,https://iucngreenlist.org/sites/Al-Wathba-Wetland-Reserve
303317,Green Listed,27-10-2023,https://iucngreenlist.org/sites/Amarakaeri
309970,Relisted,31-12-2024,https://iucngreenlist.org/sites/Arakwal-National-Park-and-Cape-Byron-State-Conservation-Area
354414,Relisted,31-12-2024,https://iucngreenlist.org/sites/Arakwal-National-Park-and-Cape-Byron-State-Conservation-Area
32674,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Arcipelago-Toscano-National-Park
17709,Green Listed,31-12-2023,https://iucngreenlist.org/sites/Azraq-Wetland-Reserve
18807,Candidate,,
10110,Candidate,,
306777,Candidate,,
792,Candidate,,
4106,Candidate,,
303067,Candidate,,
345942,Green Listed,31-12-2023,https://iucngreenlist.org/sites/Bois-du-Loc'h-Integral-Biological-Reserve
306779,Candidate,,
306780,Candidate,,
555526767,Candidate,,
303072,Candidate,,
18805,Candidate,,
4044,Relisted,31-12-2023,https://iucngreenlist.org/sites/Cerb�re-Banyuls
62735,Green Listed,19-03-2024,https://iucngreenlist.org/sites/Champ-du-Feu-Managed-Biological-Reserve
3014,Candidate,,
143,Green Listed,31-12-2025,https://iucngreenlist.org/sites/Chingaza-Natural-National-Park
7523,Candidate,,
555526045,Candidate,,
555539517,Candidate,,
303038,Candidate,,
555577562,Candidate,,
303320,Green Listed,27-10-2023,https://iucngreenlist.org/sites/Cordillera-Azul
555547502,Green Listed,31-12-2023,https://iucngreenlist.org/sites/C�te-bleue-Marine-park
20299,Candidate,,
7878,Candidate,,
62990,Candidate,,
168201,Candidate,,
10279,Candidate,,
256,Candidate,,
95349,Candidate,,
30697,Candidate,,
555624257,Candidate,,
61611,Green Listed,,https://iucngreenlist.org/sites/Do�ana-Natural-Area
68175,Green Listed,,https://iucngreenlist.org/sites/Do�ana-Natural-Area
555526032,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Drugeon-Basin-Natura-2000-site
365025,Candidate,,
659,Green Listed,19-03-2023,https://iucngreenlist.org/sites/�crins-National-Park
306793_A,Candidate,,
306793_B,Candidate,,
17744,Candidate,,
64511,Green Listed,31-12-2026,https://iucngreenlist.org/sites/Foreste-Casentinesi,-Monte-Falterona-and-Campigna-National-Park
12223,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Galeras-Fauna-and-Flora-Sanctuary
7873,Candidate,,
10754,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Gorgona-Natural-National-Park
718,Relisted,31-12-2026,https://iucngreenlist.org/sites/Gran-Paradiso-National-Park
63642,Candidate,,
147297,Relisted,31-12-2023,https://iucngreenlist.org/sites/Guadeloupe-National-Park-(core-area)
555599909,Candidate,,
61498,Candidate,,
330608,Green Listed,19-03-2024,https://iucngreenlist.org/sites/Hochfeld-Managed-Biological-Reserve
322,Candidate,,
67860,Green Listed,31-12-2019,https://iucngreenlist.org/sites/Hunan-East-Dongting-Lake-National-Nature-Reserve
15089,Candidate,,
147302,Green Listed,31-12-2025,https://iucngreenlist.org/sites/Ile-du-Grand-Conn�table-National-Nature-Reserve
555637437,Candidate,,
388659,Relisted,19-03-2024,https://iucngreenlist.org/sites/Iroise-Marine-Nature-Park
767,Relisted,24-03-2026,https://iucngreenlist.org/sites/Jirisan-National-Park
1085,Candidate,,
819,Candidate,,
555526036,Candidate,,
311888,Candidate,,
555555490,Green Listed,27-10-2023,https://iucngreenlist.org/sites/Lewa-Wildlife-Conservancy
