iso3,land_area,pa_land_area,percentage_pa_land_cover,marine_area,pa_marine_area,percentage_pa_marine_cover
ABNJ,,  ,  ,221134569,  ,  
ABW,189,36,19,25214,0,0
AFG,642899,673,0,,,
AGO,1255218,87507,7,493753,24,0
AIA,86,6,7,92654,32,0
ALA,1580,41,3,,504,  
ALB,28747,5099,18,11199,304,3
AND,472,126,27,,,  
ARE,70921,12734,18,54711,6167,11
ARG,2785328,235365,8,1083151,41250,4
ARM,29685,6860,23,,,  
ASM,211,33,16,406816,35458,9
ATA,,1135,  ,,3639,  
ATF,7855,7851,100,2277433,1702575,75
ATG,455,85,19,108492,197,0
AUS,7722102,1487679,19,7432133,3014429,41
AUT,83912,23829,28,,,  
AZE,86640,8798,10,79032,345,0
BDI,27211,2066,8,,,  
BEL,30683,7634,25,3465,1270,37
BEN,116095,34369,30,30426,,
BES,323,92,28,25112,2756,11
BFA,276404,41158,15,,,  
BGD,140160,6456,5,84563,4530,5
BGR,110863,44996,41,35172,2852,8
BHR,687,45,7,7633,95,1
BHS,13458,4932,37,597705,47373,8
BIH,51225,715,1,13,,
BLM,25,5,20,4318,4244,98
BLR,207228,19383,9,,,  
BLZ,22298,8402,38,36250,3654,10
BMU,72,2,2,451644,0,0
BOL,1089909,336407,31,,,  
BRA,8529399,2509321,29,3672584,977794,27
BRB,444,6,1,185020,10,0
BRN,5962,2794,47,25698,52,0
BTN,39933,19171,48,,,  
BVT,51,44,87,440224,14,0
BWA,581163,169362,29,,,  
CAF,624568,112827,18,,,  
CAN,9955033,958104,10,5698083,164285,3
CCK,18,,,470117,26,0
CHE,41355,3997,10,,,  
CHL,759821,140525,18,3657313,1061245,29
CHN,9361609,1461511,16,878364,47496,5
CIV,324108,74171,23,174842,130,0
CMR,469428,49762,11,14704,501,3
COD,2344275,324290,14,13265,31,0
COG,343737,140032,41,39864,1280,3
COK,258,67,26,1972842,1981970,100
COL,1145033,169545,15,730742,124544,17
COM,1701,173,10,165505,37,0
CPV,4149,120,3,801065,5,0
CRI,51636,14253,28,576110,4802,1
CUB,111643,18481,17,365756,15819,4
CUW,451,71,16,30535,12,0
CXR,142,88,62,330036,1,0
CYM,289,31,11,119605,93,0
CYP,9063,3385,37,98280,121,0
CZE,77917,17263,22,,,  
DEU,357584,134995,38,56358,25563,45
DJI,21844,344,2,7031,12,0
DMA,766,168,22,28749,10,0
DNK,45314,8203,18,100470,17933,18
