iso3,acp_region
ATG,caribbean
BHS,caribbean
BLZ,caribbean
BRB,caribbean
CUB,caribbean
DMA,caribbean
DOM,caribbean
GRD,caribbean
GUY,caribbean
HTI,caribbean
JAM,caribbean
KNA,caribbean
LCA,caribbean
SUR,caribbean
TTO,caribbean
VCT,caribbean
BDI,central_africa
CAF,central_africa
CMR,central_africa
COD,central_africa
COG,central_africa
GAB,central_africa
GNQ,central_africa
STP,central_africa
TCD,central_africa
DJI,eastern_africa
ERI,eastern_africa
ETH,eastern_africa
KEN,eastern_africa
RWA,eastern_africa
SDN,eastern_africa
SOM,eastern_africa
SSD,eastern_africa
TZA,eastern_africa
UGA,eastern_africa
AGO,southern_africa
BWA,southern_africa
COM,southern_africa
LSO,southern_africa
MDG,southern_africa
MOZ,southern_africa
MWI,southern_africa
MUS,southern_africa
NAM,southern_africa
SWZ,southern_africa
SYC,southern_africa
ZAF,southern_africa
ZMB,southern_africa
ZWE,southern_africa
BEN,western_africa
BFA,western_africa
CIV,western_africa
CPV,western_africa
GHA,western_africa
GIN,western_africa
GMB,western_africa
GNB,western_africa
LBR,western_africa
MLI,western_africa
MRT,western_africa
NER,western_africa
NGA,western_africa
SEN,western_africa
SLE,western_africa
TGO,western_africa
WSM,pacific
PLW,pacific
SLB,pacific
PNG,pacific
FJI,pacific
NRU,pacific
NIU,pacific
TON,pacific
TUV,pacific
COK,pacific
MHL,pacific
VUT,pacific
KIR,pacific
FSM,pacific
TLS,pacific
