"iso3","pa_marine_area","pa_land_area","marine_area","land_area","percentage_pa_land_cover","percentage_pa_marine_cover","percentage_nr_land_cover","percentage_nr_marine_cover","nr_version","nr_report_url"
"NAM","9646","313534","562728","827465","37.89","1.71","0","0",5,"https://www.cbd.int/doc/world/0/0-nr-05-en.pdf"
"ABNJ","2608285","0","235080140","0","0","1.11","0","0",0,
"ABW","0","36","25214","189","18.92","0","0","0",0,
"AFG","0","673","0","642899","0.1","0","0","0",,"No information found in 5th national Report"
"AGO","24","87507","493753","1255218","6.97","0","0","0",5,"https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf"
"AIA","32","6","92654","86","7.34","0.03","0","0",0,
"ALA","424","26","0","0","0","0","0","0",0,
"ALB","318","5344","11199","28747","18.59","2.84","0","0",5,"https://www.cbd.int/doc/world/al/al-nr-05-en.pdf"
"AND","0","126","0","472","26.73","0","0","0",6,"https://chm.cbd.int/pdf/documents/nationalReport6/241228/1"
"ARE","6166","12734","54711","70921","17.95","11.27","0.04","0",0,
"ARG","127462","235911","1083151","2785328","8.47","11.77","0","0",0,
"ARM","0","6860","0","29685","23.11","0","0","0",5,"https://www.cbd.int/doc/world/am/am-nr-05-en.pdf"
"ASM","35458","33","406816","211","15.85","8.72","0","0",0,
"ATF","1702574","7851","2277432","7855","99.94","74.76","0","0",0,
"ATG","197","85","108492","455","18.57","0.18","0","0",5,"https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf"
"AUT","0","23845","0","83912","28.42","0","0","0",5,"https://www.cbd.int/doc/world/at/at-nr-05-en.pdf"
"AZE","345","8798","79032","86640","10.16","0.44","0","0",5,"https://www.cbd.int/doc/world/az/az-nr-05-en.pdf"
"BDI","0","2066","0","27211","7.59","0","0","0",5,"https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf"
"BEN","0","34369","30426","116095","29.6","0","0","0",5,"https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf"
"BES","2756","92","25112","323","28.37","10.97","0","0",0,
"BFA","0","41158","0","276404","14.89","0","0","0",0,
