iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_land_cover,percentage_oecms_pa_marine_cover
ABNJ,3172934.69,48892.57,222490330.6,0,0,1.43,na,na,na,na,3172934.69,48892.57,0,1.43
ABW,0.26,35.38,29972.5,179.72,19.69,0,na,na,na,na,0.26,35.38,19.69,0
AFG,0,23336.37,0,641814.37,3.64,0,na,na,0,No information found in 5th National Report,0,23336.37,3.64,0
AGO,16.27,134175.68,495857.14,1247027.96,10.76,0,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf,16.27,134175.68,10.76,0
AIA,71.08,0.79,90161.88,79.37,0.99,0.08,na,na,na,na,71.08,0.79,0.99,0.08
ALA,418.12,11.07,0,1544.42,0.72,0,na,na,na,na,418.12,11.07,0.72,0
ALB,422.02,6763.67,12546.63,28600.15,23.65,3.36,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf,422.02,6763.67,23.65,3.36
AND,0,126.66,0,464.45,27.27,0,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1,0,126.66,27.27,0
ARE,6177.5,13737.12,51466.19,71617.09,19.18,12,na,na,0,na,6177.5,13737.12,19.18,12
ARG,128759.29,245186.04,1071039.01,2780892.85,8.82,12.02,na,na,0,na,128759.29,245186.04,8.82,12.02
ARM,0,11550.8,0,29715.01,38.87,0,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf,0,11550.8,38.87,0
ASM,35165.12,33.01,405849.2,201.87,16.35,8.66,na,na,0,na,35165.12,33.01,16.35,8.66
ATA,3965.26,933.18,0,12537755.81,0.01,0,na,na,0,na,3965.26,933.18,0.01,0
ATF,1702206.25,7619.32,1950205.02,7621.62,99.97,87.28,na,na,0,na,1702206.25,7619.32,99.97,87.28
ATG,815.57,69.4,111578.65,420.05,16.52,0.73,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf,815.57,69.4,16.52,0.73
AUS,3337121.92,1692883.78,7351433.51,7684595.65,22.03,45.39,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf,3337121.92,1692883.78,22.03,45.39
AUT,0,24867.66,0,83937.38,29.63,0,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf,0,24867.66,29.63,0
AZE,849.42,18972.04,80584.28,85992.15,22.06,1.05,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf,849.42,18972.04,22.06,1.05
BDI,0,2051.96,0,26843.99,7.64,0,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf,0,2051.96,7.64,0
BEL,1345.25,4988.95,3511.68,30636.62,16.28,38.31,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B,1345.25,4988.95,16.28,38.31
BEN,0,34223.11,35328.76,115249.8,29.69,0,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf,0,34223.11,29.69,0
BES,24881.83,87.43,24689.72,286.67,30.5,100,na,na,0,na,24881.83,87.43,30.5,100
BFA,0,45105.52,0,273230.86,16.51,0,na,na,0,na,0,45105.52,16.51,0
BGD,8976.77,5730.98,112376.81,137870.06,4.16,7.99,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf,8976.77,5730.98,4.16,7.99
BGR,2854.31,49117.92,34769.82,110942.69,44.27,8.21,34,na,5,https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf,2854.31,49117.92,44.27,8.21
BHR,1602.91,91.68,7487.57,783.96,11.69,21.41,na,na,5,https://www.cbd.int/doc/world/bh/bh-nbsap-v2-en.pdf,1602.91,91.68,11.69,21.41
BHS,47675.16,4309.75,620595.11,12469.1,34.56,7.68,na,na,0,na,47675.16,4309.75,34.56,7.68
BIH,0,4855,13.44,51198.53,9.48,0,2,na,5,https://www.cbd.int/doc/world/ba/ba-nr-05-en.pdf,0,4855,9.48,0
BLM,4109.34,0.67,4182.89,20.36,3.3,98.24,na,na,0,na,4109.34,0.67,3.3,98.24
BLR,0,19425.34,0,207637.63,9.36,0,8.72,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241352/1,0,19425.34,9.36,0
BLZ,6711.36,8239.16,32937.69,22075.89,37.32,20.38,36.6,19.8,6,https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718,6711.36,8239.16,37.32,20.38
BMU,0.47,1.25,464399.02,54.05,2.31,0,na,na,0,na,0.47,1.25,2.31,0
BOL,0,334506.74,0,1083942.13,30.86,0,23,na,5,https://www.cbd.int/doc/world/bo/bo-nr-05-es.pdf,0,334506.74,30.86,0
BRA,981349.06,2593200.3,3682336.29,8467896.98,30.62,26.65,16,1.5,5,https://www.cbd.int/doc/world/br/br-nr-05-en.pdf,981349.06,2593200.3,30.62,26.65
BRB,83.53,4.71,185008.52,432.48,1.09,0.05,na,na,0,na,83.53,4.71,1.09,0.05
BRN,15.06,2341.9,43037.15,5868.03,39.91,0.04,41,na,5,https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf,15.06,2341.9,39.91,0.04
BTN,0,19973.82,0,38689.5,51.63,0,51.44,na,6,https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1,0,20292.68,52.45,0
BVT,2214.78,48.3,0,48.3,100,0,na,na,0,na,2214.78,48.3,100,0
BWA,0,168482.83,0,578043.3,29.15,0,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D,0,168482.83,29.15,0
CAF,0,92043.04,0,619796.63,14.85,0,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf,0,92043.04,14.85,0
CAN,526161.42,1287364.86,5733481.52,9966721.08,12.92,9.18,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08,844081.13,1378432.86,13.83,14.72
