iso3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,oecms_pa_marine_area,oecms_pa_land_area,percentage_oecms_pa_marine_cover,percentage_oecms_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
ABNJ,2608285.399,0,235080140,0,0,1.10953,2608285.399,0,1.109530307,0,na,na,na,na
ABW,0.026514,35.833833,25213.94735,189.420844,18.91758,0.000105,0.026514,35.833833,0.000105156,18.91757646,na,na,na,na
AFG,0,23383.89116,0,642899.1342,3.637257,0,0,23383.89116,0,3.637256595,na,na,0,No information found in 5th National Report
AGO,24.341169,87506.59246,493753.373,1255217.852,6.971426,0.00493,24.341169,87506.59246,0.004929823,6.971426697,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf
AIA,62.727558,9.528067,92653.59144,85.524417,11.14076,0.067701,62.727558,9.528067,0.067701162,11.14075645,na,na,na,na
ALA,428.806675,25.755232,0,0,0,0,428.806675,25.755232,0,0,na,na,na,na
ALB,317.982216,5343.929138,11199.39919,28746.5563,18.58981,2.839279,317.982216,5343.929138,2.839279238,18.58980631,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf
AND,0,126.120308,0,471.870724,26.72772,0,0,126.120308,0,26.72772469,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1
ARE,6281.072755,13724.22686,54711.04352,70921.45739,19.35131,11.48045,6281.072755,13724.22686,11.48044773,19.35130406,na,na,0,na
ARG,127449.1888,236109.4891,1083150.624,2785327.721,8.476902,11.76653,127449.1888,236109.4891,11.76652498,8.476901563,na,na,0,na
ARM,0,7215.157913,0,29685.40559,24.3054,0,0,7215.157913,0,24.30540452,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf
ASM,8.980718,1.779289,406816.029,210.578755,0.844952,0.002208,8.980718,1.779289,0.002207562,0.844951809,na,na,0,na
ATA,4774.711754,0,0,0,0,0,4774.711754,0,0,0,na,na,0,na
ATF,1658647.289,7847.146197,2277432,7855.43,99.89455,72.82972,1658647.289,7847.146197,72.82971736,99.89454679,na,na,0,na
ATG,324.943977,95.612934,108492.3833,455.237976,21.00285,0.299509,324.943977,95.612934,0.299508562,21.00284665,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf
AUS,3035629.855,1570579.983,7432133.367,7722102.022,20.33876,40.84466,3035629.855,1570579.983,40.84466337,20.3387624,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf
