ISO3,Area Country ,Area Protected Areas km2,,
ABNJ,212287868.34,547030.487847,,
ABW,2784.72997747,0,,
AGO,504748.2240788,23.7470515423973,,
AIA,92653.422198244,64.5634619321,,
ALB,11238.69536211,91.238086782,,
ANT,78751.4145737,65.5163082003,,
ARE,53143.1600327,6796.06304639,,
ARG,1083376.299854,18437.1870423,,
ASM,406816.73933848,35055.92133564,,
ATF,2273690.4719793,43634.5407123,,
ATG,109245.77116872,140.179892137,,
AUS,7437706.667703,3017533.028121,,
BEL,3468.47762532,1266.006071109,,
BEN,30395.00444943,0,,
BGD,78726.3632706,1000.44089235,,
BGR,35118.19634587,1008.57601369938,,
BHR,7632.00187384,345.844624198,,
BHS,614929.896916,1434.34804764,,
BIH,12.0084697464517,0.862866087502126,,
BLZ,36220.3539375,2679.58436469987,,
BMU,451644.65509178,148.5661807,,
BRA,3667154.793309,58309.13633497,,
BRB,187238.31363487,2.65210657018,,
BRN,3054.7014532,46.8890022079,,
BVT,440224.68649063,13.8590657081,,
CAN,5698702.16685,46327.06157706,,
CCK,470116.61630194,26.2924585324,,
CHL,3609662.550593,159974.886603,,
CHN,908802.93907,8668.2529380686,,
CIV,174821.3079464,243.138540853515,,
CMR,14700.02867053,567.742088055,,
COD,921.763156802,31.3679146989,,
COG,40714.79230322,1172.60487535665,,
COK,1972848.0462444,14.5806503211,,
COL,804316.5077204,74470.47795,,
COM,165504.6290854,3808.7186948073,,
CPV,801066.3033589,0,,
CRI,576303.2091641,4987.8626040623,,
CUB,349012.38238,9345.34428573,,
CXR,330035.04200947,0.780133339786,,
CYM,119605.41122851,89.3426809382,,
CYP,78856.5156318,120.602445991,,
DEU,56257.7589959,25436.6463735,,
DJI,7243.14180185,11.797127302,,
DMA,30009.32652491,4.97104331306,,
DNK,100657.14299,17890.04758658,,
DOM,270519.9708679,24588.42159106,,
DZA,128963.1165272,338.737924242,,
ECU,1079927.9646381,139950.9728727,,
EGY,252247.8939708,7919.53589144127,,
ERI,78576.9000428,0,,
ESH,301489.9457856,4033.616527685,,
ESP,1004872.125043,12119.3135887,,
EST,35982.4428741,6772.94318734845,,
FIN,79611.2310166,8721.6536929505,,
FJI,1291252.554668,11923.8384377774,,
FLK,549055.1205944,22371.124308955,,
FRA,334316.2367042,88224.823309,,
FRO,266720.7587907,62.1107411678,,
FSM,3011944.989887,59.81436105941,,
GAB,193407.9073732,1895.78546636,,
GBR,774416.98761,70540.5712767,,
GEO,22926.81002086,152.964739332,,
GGY,7314.89118781,1.31756284671,,
GHA,226739.6410142,209.66708595,,
GIB,389.3823263194,174.119246248,,
GIN,110223.7701669,577.52510206311,,
GLP,95811.7539247,1391.28075451348,,
GMB,22749.06494321,27.2060730462115,,
GNB,106491.6573339,9021.6223163848,,
GNQ,309097.8757113,328.77239630199,,
GRC,492623.227208,7212.932683236,,
GRD,26278.23927499,5.44279149209,,
GRL,2263500.95896,102317.73845182,,
GTM,118172.74567729,943.60304564862,,
GUF,135545.49558611,1321.09822684,,
GUM,4586.27683487,114.869355315,,
GUY,136638.3594307,17.4239072379,,
HMD,416111.16052575,64102.21502845,,
HND,219972.423166,1468.107648801,,
HRV,55288.7160379,5112.7674283657,,
HTI,122369.6407172,5.71100274769,,
IDN,5996498.53356,195765.96823865,,
IND,2301352.52562,4048.38832441252,,
IOT,642744.9196844,641060.5201222,,
IRL,409004.2100414,6596.49897931,,
IRN,160935.7563489,1444.35354112,,
IRQ,626.5183526414,0.0000692115263211,,
ISL,752795.4585776,2768.39937477,,
ISR,27428.66262789,12.3532705017759,,
ITA,540017.984225,47330.0361999,,
JAM,246486.5716184,1860.09937741,,
JEY,2328.34276298,183.556738755,,
JOR,96.322068253,29.0625633755,,
JPN,4040605.828409,19948.6222982384,,
KEN,112473.9173728,1335.475301565,,
KHM,47785.5463426,89.1241226401,,
KIR,3459401.551036,408407.4841943,,
KNA,9768.80929816,17.3866468158,,
KOR,321353.3350249,3410.94466426,,
KWT,11901.06174256,12.7278933996,,
LBN,19309.21128191,0.513409659487,,
LBR,247894.6309717,251.76939826,,
LBY,356329.9894156,2286.766599465,,
LCA,15560.89411608,6.37422942297,,
LKA,534084.2422686,416.137437867,,
LTU,6146.78419341,681.768890727968,,
LVA,28866.5896074,4851.655389479,,
MAR,275624.1568236,501.539634308,,
MCO,283.9342065947,283.9269569761,,
MDG,1205827.134865,6093.34895782,,
MDV,922112.555741,607.970926897,,
MEX,3284771.869869,62225.8416295,,
MHL,2004576.111996,3829.80307563,,
MLT,55699.58015463,187.023442349,,
MMR,520024.787328,323.559199841,,
MNE,7415.71654568,0.081840328708,,
MNP,971617.3764884,256085.34594558,,
MOZ,574346.0490974,12671.6632136935,,
MRT,156618.0890872,6487.77293292595,,
MSR,7368.258742597,0.0401145268461,,
MTQ,47026.70379432,39.861130223,,
MUS,1280092.8304958,49.5831798472,,
MYS,471570.842922,3511.690630894,,
MYT,63362.45919384,63277.92320815,,
NAM,562726.1469169,9636.370789266,,
NCL,1421716.561338,1301247.9815931,,
NFK,432637.82302487,189245.5573535,,
NGA,182889.2577797,32.5104584701,,
NIC,158547.3462388,15245.6770540121,,
