ISO3,Area Country ,Area Protected Areas km2,,
ABW,189.39,0.91,,
AFG,"642,899.15","2,959.51",,
AGO,"1,255,217.53","87,566.57",,
AIA,85.69,5.28,,
ALB,"28,746.43",673.49,,
AND,471.87,91.70,,
ANT,810.39,173.02,,
ARE,"70,881.18","13,156.20",,
ARG,"2,785,324.89","189,444.79",,
ARM,"29,685.41","7,345.55",,
ASM,210.51,26.62,,
ATF,"7,701.00",24.91,,
ATG,455.17,24.75,,
AUS,"7,722,098.85","1,129,587.50",,
AUT,"83,912.26","23,790.92",,
AZE,"86,388.20","12,064.58",,
BDI,"27,210.88","1,874.36",,
BEL,"30,683.06","7,014.53",,
BEN,"116,127.14","32,601.62",,
BFA,"276,403.72","42,753.26",,
BGD,"140,108.69","6,452.12",,
BGR,"110,862.39","44,920.31",,
BHR,629.64,17.53,,
BHS,"13,445.44","1,789.97",,
BIH,"51,225.16",655.41,,
BLR,"207,228.08","17,762.38",,
BLZ,"22,294.47","8,173.08",,
BMU,72.15,4.16,,
BOL,"1,089,908.95","270,602.67",,
BRA,"8,533,058.71","2,426,789.75",,
BRB,444.08,0.56,,
BRN,"5,961.50","2,628.88",,
BTN,"39,933.50","18,888.10",,
BVT,50.64,44.00,,
BWA,"581,162.95","169,419.68",,
CAF,"624,568.03","112,960.66",,
CAN,"9,866,426.66","925,262.12",,
CCK,17.93,0.00,,
CHE,"41,355.27","4,104.71",,
CHL,"759,769.13","139,358.83",,
CHN,"9,361,561.26","1,593,946.30",,
CIV,"324,107.58","74,233.11",,
CMR,"469,428.21","50,989.55",,
COD,"2,344,274.99","283,086.90",,
COG,"343,736.66","121,131.18",,
COK,253.25,3.43,,
COL,"1,145,029.89","264,042.78",,
COM,"1,701.02",172.69,,
CPV,"4,148.42",107.79,,
CRI,"51,633.99","14,168.89",,
CUB,"111,633.08","13,842.22",,
CXR,142.34,87.62,,
CYM,289.29,25.27,,
CYP,"9,063.03","1,664.60",,
CZE,"77,916.90","16,446.37",,
DEU,"357,584.17","133,731.86",,
DJI,"21,843.61",292.55,,
DMA,766.15,165.31,,
DNK,"45,313.01","8,306.64",,
DOM,"48,509.34","11,132.35",,
DZA,"2,324,458.56","182,671.16",,
ECU,"258,137.52","66,480.95",,
EGY,"985,198.73","110,654.16",,
ERI,"121,817.59","6,141.88",,
ESH,"268,339.13","267,658.24",,
ESP,"507,011.06","141,835.36",,
EST,"45,417.10","9,380.51",,
ETH,"1,135,429.41","208,907.35",,
FIN,"337,667.87","50,002.54",,
FJI,"19,152.37",847.99,,
FLK,"12,396.95",64.33,,
FRA,"549,104.33","139,093.06",,
FRO,"1,450.66",33.83,,
FSM,816.33,35.31,,
GAB,"266,040.75","54,507.97",,
GBR,"246,096.90","69,953.19",,
GEO,"69,972.01","5,837.90",,
GGY,85.60,9.79,,
GHA,"240,330.12","36,179.56",,
GIB,7.45,2.45,,
GIN,"246,426.98","71,965.67",,
GLP,"1,763.00","1,160.68",,
GMB,"10,757.92",447.41,,
GNB,"34,016.04","5,568.70",,
GNQ,"27,136.14","6,793.53",,
GRC,"133,008.99","46,361.04",,
GRD,373.33,8.24,,
GRL,"2,153,931.60","886,462.06",,
GTM,"109,921.66","34,918.90",,
GUF,"83,034.58","43,563.91",,
GUM,561.23,152.29,,
GUY,"211,199.80","18,354.22",,
HKG,"1,102.07",461.08,,
HMD,391.02,391.02,,
HND,"113,289.81","24,461.04",,
HRV,"56,855.27","21,449.57",,
HTI,"27,389.43",86.78,,
HUN,"93,142.45","21,003.67",,
IDN,"1,906,535.87","279,296.26",,
IND,"3,061,186.58","163,638.91",,
IOT,68.73,68.73,,
IRL,"70,124.00","10,089.14",,
IRN,"1,627,387.57","118,138.84",,
IRQ,"437,830.52","1,665.57",,
ISL,"102,289.80","17,062.81",,
ISR,"20,958.09","4,161.34",,
ITA,"301,333.87","64,704.85",,
JAM,"11,058.74","1,757.76",,
JEY,125.04,16.92,,
JOR,"89,689.81","1,885.77",,
JPN,"374,081.50","72,399.77",,
KAZ,"2,696,100.32","88,578.04",,
KEN,"586,769.46","72,588.03",,
KGZ,"199,957.01","13,874.31",,
KHM,"182,510.82","47,377.22",,
KIR,"1,031.10",228.91,,
KNA,270.76,9.00,,
KOR,"99,623.98","7,568.05",,
KWT,"17,417.77","3,203.90",,
LAO,"231,276.17","38,542.09",,
LBN,"10,328.88",275.02,,
LBR,"96,633.81","2,424.49",,
LBY,"1,622,615.57","4,030.58",,
LCA,622.07,104.79,,
LIE,167.06,74.28,,
LKA,"66,630.59","15,454.30",,
LSO,"30,495.00",165.56,,
LTU,"64,696.30","10,864.21",,
LUX,"2,603.08",901.49,,
LVA,"64,502.16","11,749.96",,
MAC,17.06,0.00,,
MAR,"407,280.56","137,001.46",,
MCO,1.87,0.67,,
MDA,"33,963.76","1,298.26",,
MDG,"594,716.72","29,534.02",,
MDV,300.97,2.25,,
MEX,"1,965,280.61","253,820.85",,
MHL,279.50,21.89,,
MKD,"25,443.14","2,469.30",,
MLI,"1,256,684.14","105,290.17",,
MLT,324.86,75.16,,
MMR,"673,073.18","48,268.44",,
MNE,"13,847.44",573.09,,
MNG,"1,565,864.14","269,427.12",,
MNP,501.03,17.01,,
MOZ,"791,081.23","136,136.27",,
MRT,"1,046,302.36","10,053.69",,
MSR,100.69,10.60,,
MTQ,"1,149.59",708.41,,
MUS,"2,040.10",92.37,,
MWI,"118,859.74","19,986.15",,
MYS,"331,698.96","61,072.35",,
MYT,396.23,47.38,,
NAM,"827,464.81","313,239.78",,
