type,value,,,,
total_protected_areas,"265,941",,,,
total_terrestrial_protected_areas,"248,113",,,,
total_marine_protected_areas,"17,828",,,,
total_land_pa_coverage_percentage,15.67,,,,
total_land_area_protected,"21,140,168",,,,
total_ocean_pa_coverage_percentage,7.65,,,,
total_ocean_area_protected,"27,731,928",,,,
national_waters_pa_coverage_percentage,17.79,,,,
national_waters_pa_coverage_area,"25,113,775",,,,
high_seas_pa_coverage_percentage,1.18,,,,
high_seas_pa_coverage_area,"2,618,153",,,,
national_waters_percentage,39,,,,
global_ocean_percentage,61,,,,
total_oecms,343,,,,
total_terrestrial_oecms,164,,,,
total_marine_oecms,179,,,,
total_land_oecms_coverage_percentage,0.98,,,,
total_land_area_oecms,"1,320,515",,,,
total_ocean_oecms_coverage_percentage,0.09,,,,
total_ocean_area_oecms,"316,425",,,,
national_waters_oecms_coverage_percentage,0.22,,,,
national_waters_oecms_coverage_area,"316,425",,,,
total_oecms_pas,"266,284",,,,
total_terrestrial_oecms_pas,"248,277",,,,
total_marine_oecms_pas,"18,007",,,,
total_land_oecms_pas_coverage_percentage,16.65,,,,
total_land_area_oecms_pas,"22,460,683",,,,
total_ocean_oecms_pas_coverage_percentage,7.74,,,,
total_ocean_area_oecms_pas,"28,048,353",,,,
national_waters_oecms_pas_coverage_percentage,18.01,,,,
national_waters_oecms_pas_coverage_area,"25,430,200",,,,
global_oecms_pas_coverage_percentage,10.16,,,,
global_oecms_pas,"50,509,036",,,,
green_list_perc,0.14,,,,
green_list_area,"733,351",,,,
green_list_count,61,,,,
