type,value
total_protected_areas,"266,561"
total_terrestrial_protected_areas,"248,709"
total_marine_protected_areas,"17,852"
total_land_pa_coverage_percentage,15.7
total_land_area_protected,"21,179,790"
total_ocean_pa_coverage_percentage,7.91
total_ocean_area_protected,"28,652,774"
national_waters_pa_coverage_percentage,18.44
national_waters_pa_coverage_area,"26,034,621"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,669
total_terrestrial_oecms,477
total_marine_oecms,192
total_land_oecms_coverage_percentage,1.07
total_land_area_oecms,"1,446,822"
total_ocean_oecms_coverage_percentage,0.09
total_ocean_area_oecms,"316,535"
national_waters_oecms_coverage_percentage,0.22
national_waters_oecms_coverage_area,"316,535"
total_oecms_pas,"267,230"
total_terrestrial_oecms_pas,"249,186"
total_marine_oecms_pas,"18,044"
total_land_oecms_pas_coverage_percentage,16.77
total_land_area_oecms_pas,"22,626,612"
total_ocean_oecms_pas_coverage_percentage,8
total_ocean_area_oecms_pas,"28,969,309"
national_waters_oecms_pas_coverage_percentage,18.66
national_waters_oecms_pas_coverage_area,"26,351,156"
global_oecms_pas_coverage_percentage,10.38
global_oecms_pas,"51,595,921"
green_list_perc,0.14
green_list_area,"733,351"
green_list_count,61
