type,value,
total_protected_areas,"270,361",
total_terrestrial_protected_areas,"252,402",
total_marine_protected_areas,"17,959",
total_land_pa_coverage_percentage,15.73,
total_land_area_protected,"21,224,168",
total_ocean_pa_coverage_percentage,7.92,
total_ocean_area_protected,"28,714,608",
national_waters_pa_coverage_percentage,18.48,
national_waters_pa_coverage_area,"26,096,455",
high_seas_pa_coverage_percentage,1.18,
high_seas_pa_coverage_area,"2,618,153",
national_waters_percentage,39,
global_ocean_percentage,61,
total_oecms,671,
total_terrestrial_oecms,479,
total_marine_oecms,192,
total_land_oecms_coverage_percentage,1.07,
total_land_area_oecms,"1,447,083",
total_ocean_oecms_coverage_percentage,0.09,
total_ocean_area_oecms,"316,535",
national_waters_oecms_coverage_percentage,0.22,
national_waters_oecms_coverage_area,"316,535",
total_oecms_pas,"271,032",
total_terrestrial_oecms_pas,"252,881",
total_marine_oecms_pas,"18,151",
total_land_oecms_pas_coverage_percentage,16.8,
total_land_area_oecms_pas,"22,671,251",
total_ocean_oecms_pas_coverage_percentage,8.01,
total_ocean_area_oecms_pas,"29,031,143",
national_waters_oecms_pas_coverage_percentage,18.71,
national_waters_oecms_pas_coverage_area,"26,412,990",
global_oecms_pas_coverage_percentage,10.4,
global_oecms_pas,"51,702,394",
green_list_perc,0.14,
green_list_area,"733,351",
green_list_count,61,
