type,description,value,
total_protected_areas,number of protected areas,"271,140",
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,"253,359",
total_marine_protected_areas,number of marine protected areas,"17,781",
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,15.78,
total_land_area_protected,land area covered by protected areas (km2),"21,295,950",
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,8.13,
total_ocean_area_protected,ocean area covered by protected areas (km2),"29,452,489",
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,18.6,
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),"26,268,224",
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.44,
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),"3,184,264",
national_waters_percentage,percentage of ocean that is national waters,39,
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61,
total_oecms,number of OECMs,785,
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,592,
total_marine_oecms,number of marine OECMs,193,
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.011,
total_land_area_oecms,land area covered by OECMs (km2),"1,498,111",
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.09,
total_ocean_area_oecms,ocean area covered by OECMs (km2),"320,319",
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.23,
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),"320,319",
total_oecms_pas,number of protected areas and OECMs,"271,925",
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,"253,951",
total_marine_oecms_pas,number of marine protected areas and OECMs,"17,974",
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,16.87,
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),"22,794,062",
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,8.22,
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),"29,772,807",
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,18.83,
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),"26,588,542",
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,10.57,
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),"52,566,869",
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.14,
green_list_area,area covered by Green Listed protected areas and OECMs (km2),"733,351",
green_list_count,number of Green Listed protected areas and OECMs,61,
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage ,,
