type,description,value
total_protected_areas,number of protected areas,312883
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,295930
total_marine_protected_areas,number of marine protected areas,16953
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,17.33
total_land_area_protected,land area covered by protected areas (km2),23320125.13
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,9.79
total_ocean_area_protected,ocean area covered by protected areas (km2),35554219.83
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,23.01
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),32332392.58
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.45
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),3221827.26
national_waters_percentage,percentage of ocean that is national waters,39
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61
total_oecms,number of OECMs,7487
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,7258
total_marine_oecms,number of marine OECMs,229
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.1
total_land_area_oecms,land area covered by OECMs (km2),1484476.84
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.21
total_ocean_area_oecms,ocean area covered by OECMs (km2),778837.02
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.22
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),315990.06
total_oecms_pas,number of protected areas and OECMs,320370
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,303188
total_marine_oecms_pas,number of marine protected areas and OECMs,17182
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,18.44
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),24804601.97
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,10.01
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),36333056.85
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,23.24
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),32648382.64
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,12.29
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),61137658.82
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.38
green_list_area,area covered by Green Listed protected areas and OECMs (km2),1909513.83
green_list_count,number of Green Listed protected areas and OECMs,80
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage ,
