type,value,
total_protected_areas,"266,136",
total_terrestrial_protected_areas,"247,552",
total_marine_protected_areas,"18,584",
total_land_pa_coverage_percentage, 15.66 ,
total_land_area_protected,"21,134,195",
total_ocean_pa_coverage_percentage, 7.66 ,
total_ocean_area_protected,"27,737,771",
national_waters_pa_coverage_percentage, 17.79 ,
national_waters_pa_coverage_area,"25,119,618",
high_seas_pa_coverage_percentage, 1.18 ,
high_seas_pa_coverage_area,"2,618,153",
national_waters_percentage,39,
global_ocean_percentage,61,
total_oecms,506,
total_terrestrial_oecms,327,
total_marine_oecms,179,
total_land_oecms_coverage_percentage, 0.98 ,
total_land_area_oecms,"1,320,515",
total_ocean_oecms_coverage_percentage, 0.09 ,
total_ocean_area_oecms,"316,425",
national_waters_oecms_coverage_percentage, 0.22 ,
national_waters_oecms_coverage_area,"315,454",
total_oecms_pas,"267,148",
total_terrestrial_oecms_pas,"248,206",
total_marine_oecms_pas,"18,942",
total_land_oecms_pas_coverage_percentage, 16.64 ,
total_land_area_oecms_pas,"22,454,710",
total_ocean_oecms_pas_coverage_percentage, 7.74 ,
total_ocean_area_oecms_pas,"28,054,196",
national_waters_oecms_pas_coverage_percentage, 18.01 ,
national_waters_oecms_pas_coverage_area,"25,435,072",
global_oecms_pas_coverage_percentage, 9.83 ,
global_oecms_pas,"48,871,966",
green_list_perc,0.14,
green_list_area,"731,622",
green_list_count,45,
