type,value
total_protected_areas,"258,224"
total_terrestrial_protected_areas,"240,729"
total_marine_protected_areas,"17,495"
total_land_pa_coverage_percentage,15.13
total_land_area_protected,"20,411,544"
total_ocean_pa_coverage_percentage,7.66
total_ocean_area_protected,"27,761,227"
national_waters_pa_coverage_percentage,17.81
national_waters_pa_coverage_area,"25,143,074"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61
total_oecms,144
total_terrestrial_oecms,85
total_marine_oecms,59
total_land_oecms_coverage_percentage,0.87
total_land_area_oecms,"1,170,086"
total_ocean_oecms_coverage_percentage,0
total_ocean_area_oecms,"214,260"
national_waters_oecms_coverage_percentage,0.15
national_waters_oecms_coverage_area,"214,260"
total_oecms_pas,"258,368"
total_terrestrial_oecms_pas,"240,814"
total_marine_oecms_pas,"17,554"
total_land_oecms_pas_coverage_percentage,16.00
total_land_area_oecms_pas,"21,581,629"
total_ocean_oecms_pas_coverage_percentage,7.72
total_ocean_area_oecms_pas,"27,975,487"
national_waters_oecms_pas_coverage_percentage,17.95896645
national_waters_oecms_pas_coverage_area,"25,357,334"
global_oecms_pas_coverage_percentage,9.7
global_oecms_pas,"48,172,771"
green_list_perc,0.14
green_list_area,"731,622"
green_list_count,45
