"iso3","pame_pa_marine_area","pame_pa_land_area","pame_percentage_pa_marine_cover","pame_percentage_pa_land_cover"
"ABNJ",0,0,0,0
"ABW",0,0,0,0
"AFG",0,597.99,0,0.09
"AGO",19.75,32400.49,0,2.58
"AIA",0,0,0,0
"ALA",0,0,0,0
"ALB",42.89,45.15,0.38,0.16
"AND",0,26.11,0,5.53
"ARE",2157.77,8709.83,3.94,12.28
"ARG",2419.28,64069.04,0.22,2.3
"ARM",0,3445.37,0,11.61
"ASM",0,0,0,0
"ATA",0,0,0,0
"ATF",0,0,0,0
"ATG",0,0,0,0
"AUS",378130.18,303142.41,5.09,3.93
"AUT",0,471.97,0,0.56
"AZE",29.97,3351.48,0.04,3.87
"BDI",0,1422.09,0,5.23
"BEL",6.57,3866.77,0.19,12.6
"BEN",0,11330.99,0,9.76
"BES",0,0,0,0
"BFA",0,4959.12,0,1.79
"BGD",738.14,931.4,0.87,0.66
"BGR",8.25,4708.79,0.02,4.25
"BHR",0,0,0,0
"BHS",3460.29,4215.67,0.58,31.32
"BIH",0,692.47,0,1.35
"BLM",0,0,0,0
"BLR",0,4035.29,0,1.95
"BLZ",2442.62,7982.93,6.74,35.8
"BMU",0,0,0,0
"BOL",0,155396.12,0,14.26
"BRA",18353.71,954460.83,0.5,11.19
"BRB",0,0,0,0
"BRN",0,0,0,0
"BTN",0,15508.71,0,38.84
"BVT",0,0,0,0
"BWA",0,111968.29,0,19.27
"CAF",0,38632.06,0,6.19
"CAN",7809.52,318230.96,0.14,3.2
"CCK",0,0,0,0
"CHE",0,2610.8,0,6.31
"CHL",1282.76,43637.92,0.04,5.74
"CHN",832.71,200412.8,0.09,2.14
"CIV",3.72,17647.96,0,5.45
"CMR",1184.14,35645.83,8.05,7.59
"COD",31.36,158805.58,0.24,6.77
"COG",1197.46,33631.1,3,9.78
"COK",0,0,0,0
"COL",32065.61,132998.56,4.39,11.62
"COM",0,0,0,0
"CPV",0,102.42,0,2.47
"CRI",4443.43,10510.76,0.77,20.36
"CUB",0,0,0,0
"CUW",0,0,0,0
"CXR",0,0,0,0
"CYM",0,0,0,0
"CYP",0.05,1157.12,0,12.77
"CZE",0,7498.75,0,9.62
"DEU",8265.14,2011.83,14.67,0.56
"Disputed",0,0,0,0
"DJI",0,0,0,0
"DMA",0,67.39,0,8.8
"DNK",4093.08,2949.07,4.07,6.51
"DOM",1471.49,7154.42,0.54,14.75
"DZA",0,144306.49,0,6.21
"ECU",139291.1,48203.62,12.9,18.67
"EGY",11046.3,76110.33,4.67,7.73
"ERI",0,0,0,0
"ESH",0,0,0,0
"ESP",656.66,13573.6,0.07,2.68
"EST",1158.22,3248.98,3.19,7.15
"ETH",0,34834.27,0,3.07
"FIN",3011.53,27574.26,3.79,8.16
"FJI",111.43,11.1,0.01,0.06
"FLK",0,0,0,0
"FRA",113.23,4994.57,0.03,0.91
"FRO",0,0,0,0
"FSM",0,0,0,0
"GAB",1408.69,28707.11,0.73,10.79
"GBR",128440.47,27493.95,17.75,11.21
"GEO",152.96,4920.29,0.67,7.03
"GGY",0,0,0,0
"GHA",218.29,2627.98,0.1,1.09
"GIB",0,0,0,0
"GIN",450.56,14861.03,0.41,6.03
"GLP",0,0,0,0
"GMB",15.85,439.35,0.07,4.08
"GNB",2108.86,2195.71,1.98,6.45
"GNQ",6.85,3123.69,0,11.51
"GRC",408.34,1857.4,0.08,1.4
"GRD",0.22,9.54,0,2.55
"GRL",402.14,5749.93,0.02,0.27
"GTM",1026.83,11453.61,0.87,10.42
"GUF",0,20378.74,0,24.54
"GUM",0,0,0,0
"GUY",17.4,14712.79,0.01,6.97
"HKG",0,0,0,0
"HMD",6050.48,391.2,1.45,100
"HND",505.21,17848.43,0.23,15.75
"HRV",383.49,4710.3,0.69,8.28
"HTI",0,246.88,0,0.9
"HUN",0,761.42,0,0.82
"IDN",4776.11,135466.51,0.08,7.11
"IMN",0,0,0,0
"IND",1415.36,101826.74,0.06,3.33
"IOT",0,0,0,0
"IRL",85.63,115.17,0.02,0.16
"IRN",1150.57,13309.79,0.51,0.82
"IRQ",0,1377.96,0,0.31
"ISL",31.66,660.87,0,0.65
"ISR",0,0,0,0
"ITA",323.31,4307.4,0.06,1.43
"JAM",1857.77,1382.16,0.75,12.5
"JEY",0,0,0,0
"JOR",0,1110.12,0,1.24
"JPN",0,0,0,0
"KAZ",0,19251.4,0,0.71
"KEN",88.07,30229.53,0.08,5.15
"KGZ",0,1304.76,0,0.65
"KHM",83.49,38597.11,0.17,21.15
"KIR",408247.38,84.15,11.8,8.15
"KNA",0,0,0,0
"KOR",3033.82,5793.31,0.93,5.81
"KWT",0.8,325.02,0.01,1.87
"LAO",0,0,0,0
"LBN",0,160.94,0,1.56
"LBR",251.81,2410.41,0.1,2.49
"LBY",0,0,0,0
"LCA",3.38,16.03,0.02,2.58
"LIE",0,19.08,0,11.42
"LKA",0,633.84,0,0.95
"LSO",0,106.29,0,0.35
"LTU",197.27,862.58,3.22,1.33
"LUX",0,487.75,0,18.74
"LVA",87.73,689.31,0.3,1.07
"MAF",0,0,0,0
"MAR",321.61,913.48,0.12,0.22
