iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,0,0,0
ABW,0,0,0,0
AFG,0,607.68564,0,2.598736181
AGO,19.751236,32400.49499,81.14333375,37.02634748
AIA,0,0,0,0
ALA,0,0,0,0
ALB,42.889141,45.148125,13.48790556,0.844848871
AND,0,26.105939,0,20.59939601
ARE,2271.298204,10513.13911,36.1609918,76.60277853
ARG,2407.077637,64068.84981,1.888656695,27.13522868
ARM,0,3445.371044,0,47.75184529
ASM,0,0,0,0
ATA,0,0,0,0
ATF,0,0,0,0
ATG,38.614701,69.56662,11.88349492,72.75858724
AUS,378805.8011,303593.6712,12.47865581,19.33003569
AUT,0,471.966738,0,1.933204416
AZE,0.154514,2880.890839,0.044745924,32.74348847
BDI,0,1422.09236,0,68.84293206
BEL,6.573838,3866.765792,0.517587439,81.69965119
BEN,0,11330.99346,0,32.96807251
BES,0,0,0,0
BFA,0,2915.466265,0,6.43068722
BGD,738.144196,931.396849,16.29456449,14.42745507
BGR,8.252788,4709.169139,0.289383384,10.34922921
BHR,0,0,0,0
BHS,3460.290417,4215.672449,7.307052755,85.50784703
BIH,0,692.468616,0,37.27336808
BLM,0,0,0,0
BLR,0,4035.285494,0,14.06681881
BLZ,2783.395151,8002.818885,69.68180624,95.58972561
BMU,0,0,0,0
BOL,0,155396.1212,0,46.19294851
BRA,19837.36478,955287.155,2.013860476,36.95776284
BRB,0,0,0,0
BRN,0,0,0,0
BTN,0,15603.48299,0,78.66760926
BVT,0,0,0,0
BWA,0,111968.2861,0,66.10876523
CAF,0,38632.06062,0,34.24005054
CAN,6980.110537,307619.9491,1.382957609,25.9422521
CCK,0,0,0,0
CHE,0,2610.795858,0,52.79047035
CHL,1402.990822,45469.73647,0.092827821,28.63549902
CHN,832.712621,200412.8047,1.730288698,13.70894066
CIV,0,18194.93691,0,24.44938936
CMR,1100.218999,38176.86145,68.69616941,74.075219
COD,31.363659,155840.4141,100,48.05592786
COG,1197.464959,32001.82544,99.77943151,25.30345196
COK,0,0,0,0
COL,32065.61446,147843.5739,25.56312931,76.35841597
COM,0,0,0,0
CPV,0,102.417916,0,85.26056503
CRI,4432.850357,10523.39825,28.19751292,71.7179006
CUB,0,0,0,0
CUW,0,0,0,0
CXR,0,0,0,0
CYM,0,0,0,0
CYP,0.045238,1157.122558,5.34E-04,33.0764348
CZE,0,7504.302328,0,43.45748449
DEU,8238.060627,2017.302026,32.20496273,1.492466928
Disputed,0,0,0,0
DJI,0,0,0,0
DMA,0,67.392445,0,40.04832045
DNK,4100.198032,2812.166009,22.27365885,36.56669249
DOM,1471.48947,7154.422034,3.02620089,56.21276547
DZA,0.01792,75789.68362,2.04E-02,70.26345148
ECU,139291.1005,45578.80613,96.64753911,78.98437045
EGY,11046.30476,76110.32685,94.2854004,58.822502
ERI,0,0,0,0
ESH,469.943801,142.988855,91.58921616,23.2068337
ESP,656.665869,13544.66698,0.511754929,9.500130394
EST,1157.732577,3236.312193,16.96205003,33.59615624
ETH,0,34890.50927,0,19.52186145
FIN,2995.165989,27579.27972,31.44297828,61.40532203
FJI,111.434696,11.103878,0.931805009,1.071273062
FLK,0,0,0,0
FRA,113.230773,4994.572431,0.065391151,3.334730736
FRO,0,0,0,0
FSM,0,0,0,0
GAB,1408.687712,28707.11162,2.528125205,48.07937904
GBR,128583.7843,27501.8666,40.21192179,39.02199726
GEO,152.961902,5585.098034,99.99935409,85.91369333
GGY,0,0,0,0
GHA,218.290035,2301.346376,99.55898782,6.450916472
GIB,0,0,0,0
GIN,450.561029,14861.3432,77.25022569,16.83314978
GLP,0,0,0,0
GMB,101.745604,597.07744,74.07940333,71.90603517
GNB,2074.964807,6242.607594,21.67324011,69.71767804
GNQ,6.850682,3123.690636,0.938816311,59.74660552
GRC,408.342947,1857.398302,1.828999155,3.965237885
GRD,0.224225,9.543075,0.870260862,26.78345599
GRL,402.139927,5749.926977,0.393275105,0.649324061
GTM,892.09548,11527.3572,93.53324045,52.12328325
GUF,0,20378.74466,0,46.75299355
GUM,0,0,0,0
GUY,25.855686,17952.53575,100,100
HKG,0,0,0,0
HMD,6050.480012,391.198904,8.587902002,100
HND,505.211827,17845.88268,5.016954771,67.17179316
HRV,383.491263,4710.295509,7.690052827,21.59598527
HTI,0,246.883159,0,12.63249916
HUN,0,761.415893,0,3.617564838
IDN,4776.08147,135466.5103,2.626173342,58.4044031
IMN,0,0,0,0
IND,638.947252,108190.3708,11.52654725,47.0050083
IOT,0,0,0,0
IRL,85.869291,115.222584,0.863535484,1.138202451
IRN,1150.567318,13309.78741,63.61490875,9.491683765
IRQ,0,1377.958757,0,20.52443974
ISL,31.664754,660.869357,0.998884128,3.246953663
ISR,0,0,0,0
ITA,323.314501,4307.400799,0.616248598,6.650610352
JAM,1857.765027,1382.157305,99.88028602,78.52280719
JEY,0,0,0,0
JOR,0.919867,1507.332862,100,37.56079807
JPN,0,0,0,0
KAZ,0,26578.01225,0,9.742856782
KEN,74.396515,30224.81563,8.676203744,41.46637507
KGZ,0,1304.758795,0,9.730860135
