evaluation,wdpa_id,ISO3,methodolog,year,url,metadata_i,name,designatio,source_dat,source_res,source_yea,source_lan,restricted,assessment
1,555622076,ARE,METT,2016,Not Reported,1,Al Aqqa,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
2,555622075,ARE,METT,2016,Not Reported,1,Al Bidiya,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
3,555622070,ARE,METT,2016,Not Reported,1,Al Ghaf of Nazwa,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
4,555542444,ARE,METT,2016,Not Reported,1,Al Houbara,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
5,555622067,ARE,METT,2016,Not Reported,1,Al Marmoun Desert,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
6,555622077,ARE,METT,2016,Not Reported,1,Al Naseem,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
7,555558374,ARE,METT,2016,Not Reported,1,Al Wathba,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
8,555622072,ARE,METT,2016,Not Reported,1,Al Wohoosh Desert,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
9,555542441,ARE,METT,2016,Not Reported,1,Al Yasat,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
10,555558373,ARE,METT,2016,Not Reported,1,Alqurm Wa Lehfeiyah,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
11,555622078,ARE,METT,2016,Not Reported,1,Al Zorah,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
12,555542442,ARE,METT,2016,Not Reported,1,Arabian Oryx,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
13,555622074,ARE,METT,2016,Not Reported,1,Birds Island (Jazeerat Al Tuyur),Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
14,555622073,ARE,METT,2016,Not Reported,1,Dhadna,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
15,365025,ARE,METT,2016,Not Reported,1,Dubai Desert Conservation Reserve (Al Maha),Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
16,17360,ARE,METT,2016,Not Reported,1,Eastern Mangrove,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
17,555622069,ARE,METT,2016,Not Reported,1,Ed-Dhelaimah,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
18,555622084,ARE,METT,2016,Not Reported,1,Elebriddi,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
19,555622086,ARE,METT,2016,Not Reported,1,Elfaya,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
20,312960,ARE,METT,2016,Not Reported,1,Hatta,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
21,312886,ARE,METT,2016,Not Reported,1,Jabal Ali,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
22,555592552,ARE,METT,2016,Not Reported,1,Jazirat Sir Bu Na'air,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
23,555542446,ARE,METT,2016,Not Reported,1,Marawah,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
24,555622071,ARE,METT,2016,Not Reported,1,Nazwa Mountain,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
25,555622082,ARE,METT,2016,Not Reported,1,Qaser Al Sarab,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
26,555542722,ARE,METT,2016,Not Reported,1,Ras Al Khor,Protected Area,UAE Management Effectiveness Evaluation,Ministry of Climate Change and Environment,2018,Arabic,FALSE,FALSE
