ASMT_ID,EFF_METAID,SITE_ID,SITE_PID,METHOD,SUBMITYEAR,ASMT_YEAR,VERIF_EFF,ASMT_URL,INFO_URL,GOV_ACT,GOV_ASMT,DP_BIO,DP_OTHER,MGMT_OBSET,MGMT_OBMAN,MGMT_ADAPT,MGMT_STAFF,MGMT_BUDGT,MGMT_THRTS,MGMT_MON,OUT_BIO
32925,13,10747,10747,Management Effectiveness Tracking Tool (METT),2023,2023,State Verified,https://docs.google.com/spreadsheets/d/1NiSquI2ELWDzClaw5VicS5Nh-KcSI6Jb/edit?gid=173301589#gid=173301589,https://worldheritageoutlook.iucn.org/node/1006/pdf,Not reported,B. Partially - Some ad hoc assessment of governance ,F.Ecological connectivity,"B. Partially - Some other values, and/or associated functions and services have been identified","A. Yes (biodiversity and other) – objectives set for some/all biodiversity and other values, functions and/or services",A. Yes - The site is managed to achieve its objectives,B. Partially - Monitoring and evaluation system is in place but results do not feed back into management,B. Partially - Adequate to meet some objectives,A. Yes - Sufficient to meet all objectives,B. Mostly - Most of the significant threats are being addressed by management,A. Yes - Monitoring and evaluation system in place and results are regularly used to adapt and improve management actions,B. Partially
12000,85,555790284,555790284_A,Independent scientific review of the effectiveness of the measure to protect VME,2023,2023,State Verified,Not reported,https://www.neafc.org/oecm,Not reported,Not reported,A.Rare/threatened/endangered species/ecosystems; B.Natural ecosystems that are under-represented;C. Ecological integrity/intactness; D.Significant populations/extent of endemic or range-restricted species /ecosystems; ,A. Yes - other values and/or associated functions and services have been identified ,"A. Yes (biodiversity and other) – objectives set for some/all biodiversity and other values, functions and/or services",A. Yes - The site is managed to achieve its objectives,A. Yes - Monitoring and evaluation system is in place and results are regularly used to adapt and improve management actions,B. Partially - Adequate to meet some objectives,B.  Partially - Sufficient to meet some objectives,B. Mostly - Most of the significant threats are being addressed by management,A. Yes - Monitoring and evaluation system in place and results are regularly used to adapt and improve management actions,A. Substantially
12000,85,555790284,555790284_B,Independent scientific review of the effectiveness of the measure to protect VME,2023,2023,State Verified,Not reported,https://www.neafc.org/oecm,Not reported,Not reported,A.Rare/threatened/endangered species/ecosystems; B.Natural ecosystems that are under-represented;C. Ecological integrity/intactness; D.Significant populations/extent of endemic or range-restricted species /ecosystems; E.Important species aggregations; F.Ecological connectivity,A. Yes - other values and/or associated functions and services have been identified ,"A. Yes (biodiversity and other) – objectives set for some/all biodiversity and other values, functions and/or services",A. Yes - The site is managed to achieve its objectives,A. Yes - Monitoring and evaluation system is in place and results are regularly used to adapt and improve management actions,B. Partially - Adequate to meet some objectives,B.  Partially - Sufficient to meet some objectives,B. Mostly - Most of the significant threats are being addressed by management,A. Yes - Monitoring and evaluation system in place and results are regularly used to adapt and improve management actions,A. Substantially
9411,20,555549424,555549424,Management Effectiveness Tracking Tool (METT),2017,2017,State Verified,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
11516,28,9782,9782,Management Effectiveness Tracking Tool (METT),2009,2009,Not Reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
11517,28,9782,9782,Rapid Assessment and Prioritisation of Protected Area Management (RAPPAM),2006,2006,Not Reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
41,3,555636317,,Valdiviana Ecoregion Argentina methodology,2001,2001,,Not Reported,,,,,,,,,,,,,
110,3,555637432,,Governance of Biodiversity Research Project  (GOBI Survey),2015,2015,,Not Reported,,,,,,,,,,,,,
58,3,555636341,,Valdiviana Ecoregion Argentina methodology,2001,2001,,Not Reported,,,,,,,,,,,,,
129,5,555705825,,Management Effectiveness Assessment Tool (MEAT),2014,2014,,Not Reported,,,,,,,,,,,,,
130,5,555705824,,Management Effectiveness Assessment Tool (MEAT),2014,2014,,Not Reported,,,,,,,,,,,,,
131,5,555635840,,Management Effectiveness Assessment Tool (MEAT),2014,2014,,Not Reported,,,,,,,,,,,,,
425,9,555682446,,Rapid Assessment and Prioritisation of Protected Area Management (RAPPAM),2015,2015,,Not Reported,,,,,,,,,,,,,
444,9,555682412,,Rapid Assessment and Prioritisation of Protected Area Management (RAPPAM),2015,2015,,Not Reported,,,,,,,,,,,,,
961,13,555745277,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
967,13,555629239,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
970,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
972,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
974,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
975,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
977,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
983,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
986,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
987,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
988,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
989,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
992,13,555544090,,Management Effectiveness Tracking Tool (METT),2016,2016,,Not Reported,,,,,,,,,,,,,
137,5,555635839,,Management Effectiveness Assessment Tool (MEAT),2014,2014,,Not Reported,,,,,,,,,,,,,
1223,16,67744,,Parks in Peril Site Consolidation Scorecards,1997,1997,,Not Reported,,,,,,,,,,,,,
1224,16,67744,,Parks in Peril Site Consolidation Scorecards,1998,1998,,Not Reported,,,,,,,,,,,,,
1225,16,67744,,Parks in Peril Site Consolidation Scorecards,1999,1999,,Not Reported,,,,,,,,,,,,,
1226,16,67744,,Parks in Peril Site Consolidation Scorecards,2000,2000,,Not Reported,,,,,,,,,,,,,
1227,16,67744,,Parks in Peril Site Consolidation Scorecards,1996,1996,,Not Reported,,,,,,,,,,,,,
1228,16,67744,,Parks in Peril Site Consolidation Scorecards,2001,2001,,Not Reported,,,,,,,,,,,,,
1229,16,67744,,Proyecto Ambiental Regional de Centroamérica / Central America Protected Area System (PROARCA/CAPAS),2002,2002,,Not Reported,,,,,,,,,,,,,
1230,16,67744,,Parks profiles,2013,2013,,Not Reported,,,,,,,,,,,,,
1231,16,67744,,Proyecto Ambiental Regional de Centroamérica / Central America Protected Area System (PROARCA/CAPAS),2003,2003,,Not Reported,,,,,,,,,,,,,
1232,16,67744,,Proyecto Ambiental Regional de Centroamérica / Central America Protected Area System (PROARCA/CAPAS),2004,2004,,Not Reported,,,,,,,,,,,,,
1233,16,67744,,Proyecto Ambiental Regional de Centroamérica / Central America Protected Area System (PROARCA/CAPAS),2005,2005,,Not Reported,,,,,,,,,,,,,
1234,16,67744,,Parks in Peril Site Consolidation Scorecards,2014,2014,,Not Reported,,,,,,,,,,,,,
1407,18,555786433,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1410,18,555786436,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1411,18,555786437,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1414,18,138752,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1416,18,136227,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1417,18,135788,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1418,18,555786999,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1423,18,555787004,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1424,18,555787019,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1427,18,170243,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1433,18,555787028,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1435,18,140376,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1440,18,555787035,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1443,18,138744,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1444,18,555786933,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1445,18,555786934,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1449,18,135276,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1450,18,169925,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1454,18,136762,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1455,18,555786956,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1456,18,555786957,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1457,18,555786958,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1458,18,555786869,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1460,18,135909,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1464,18,135254,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1467,18,555786878,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1469,18,555786880,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1470,18,555786881,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1474,18,139933,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1478,18,135797,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1485,18,555786830,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1491,18,68254,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1494,18,127895,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1495,18,555786279,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1497,18,137868,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1501,18,140533,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1504,18,139375,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1505,18,555786293,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1506,18,555786294,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
1511,18,135151,,Common Standards Monitoring,2013,2013,,Not Reported,,,,,,,,,,,,,
